Section,Item,Qty,Unit_PKR,Total_PKR,Notes
TIER_A_CAPEX,Computers (mix used i5 10th-11th gen + 1 new),5,90000,450000,Used Dell Latitude 5500/5510 Rs 50-78k; 12th gen Rs 115-120k
TIER_A_CAPEX,24 inch monitors,6,22000,132000,
TIER_A_CAPEX,Desk + ergonomic chair,5,30000,150000,
TIER_A_CAPEX,Networking (MikroTik + switch + Cat6 + rack + AP),1,80000,80000,Dual-WAN failover router
TIER_A_CAPEX,UPS 1.5 kVA + battery,1,60000,60000,Router + server + 2 PCs
TIER_A_CAPEX,Split AC 1.5 ton inverter,1,110000,110000,
TIER_A_CAPEX,Renovation (600 sq ft),600,400,240000,Paint partition LED washroom
TIER_A_CAPEX,CCTV 4 cam + DVR + biometric,1,100000,100000,
TIER_A_CAPEX,Legal setup (SECP + PSEB + PRA + CA),1,60000,60000,SECP govt fee ~Rs 2000-2500
TIER_A_CAPEX,Branding + website + domain + Workspace + Clutch,1,80000,80000,
TIER_A_CAPEX,Tools and SaaS Year 1,1,200000,200000,Lean stack
TIER_A_CAPEX,SUBTOTAL_without_solar,1,1662000,1662000,
TIER_A_CAPEX,Solar 6kW hybrid + 5kWh lithium (month 6),1,1100000,1100000,Optional - fund from cash flow
TIER_A_CAPEX,GRAND_TOTAL_with_solar,1,2762000,2762000,
TIER_A_MONTHLY,Salaries (founder 80k + 1 mid 110k + 2 jr 120k + designer PT 40k + assistant PT 20k),5,,370000,Punjab min wage 2026 = Rs 40000
TIER_A_MONTHLY,Employer on-costs (EOBI Rs 2000/head + PESSI),5,2400,12000,
TIER_A_MONTHLY,Internet (PTCL 50 + StormFiber 30 + 4G backup),1,17000,17000,
TIER_A_MONTHLY,Electricity WITHOUT solar,1,35000,35000,Winter 20k / summer 60k
TIER_A_MONTHLY,Utilities (water gas chai kitchen waste),1,8000,8000,
TIER_A_MONTHLY,Tools and SaaS,1,18000,18000,
TIER_A_MONTHLY,Cloud hosting VPS dev APIs,1,8000,8000,
TIER_A_MONTHLY,Accounting and compliance (CA),1,15000,15000,
TIER_A_MONTHLY,Marketing (Upwork connects LinkedIn ads),1,20000,20000,
TIER_A_MONTHLY,Maintenance stationery printing,1,8000,8000,
TIER_A_MONTHLY,Contingency 5pct,1,25000,25000,
TIER_A_MONTHLY,TOTAL_without_solar,1,536000,536000,USD 1928 at 278
TIER_A_MONTHLY,Electricity WITH 6kW solar (replaces line above),1,14000,14000,
TIER_A_MONTHLY,Solar O and M,1,5000,5000,
TIER_A_MONTHLY,TOTAL_with_solar,1,520000,520000,
TIER_B_CAPEX,Computers,10,95000,950000,
TIER_B_CAPEX,Monitors,14,22000,308000,
TIER_B_CAPEX,Staff furniture,10,30000,300000,
TIER_B_CAPEX,Co-working furniture,12,22000,264000,
TIER_B_CAPEX,Business networking + captive portal,1,250000,250000,
TIER_B_CAPEX,Solar 10 kW hybrid + 5-10 kWh lithium,1,1600000,1600000,Vendor quote 10kW hybrid Rs 1597840
TIER_B_CAPEX,AC 2.5 ton,2,170000,340000,
TIER_B_CAPEX,Renovation 1500 sq ft,1500,450,675000,
TIER_B_CAPEX,Glass cabins,2,100000,200000,
TIER_B_CAPEX,CCTV 8 cam + access control + biometric,1,180000,180000,
TIER_B_CAPEX,Lockers,12,5000,60000,
TIER_B_CAPEX,Branding + signage + website,1,150000,150000,
TIER_B_CAPEX,Legal setup,1,80000,80000,
TIER_B_CAPEX,Tools and SaaS Year 1,12,35000,420000,
TIER_B_CAPEX,Generator 6.5 kVA,1,180000,180000,
TIER_B_CAPEX,GRAND_TOTAL,1,5957000,5957000,
